"dateOpe","description","montantOpe","numCpt","codeTypeOpe"
2020-11-25 09:45:12,,-685,LI00000005,VIR
2020-11-25 09:45:12,,685,CO00000002,VIR
2021-10-11 14:36:05,,-44,LI00000001,VIR
2021-10-11 14:36:05,,44,CO00000002,VIR
2022-10-16 12:23:20,,-726,CO00000004,DEP
2020-06-27 00:18:46,,-96,CC00000002,RET
2021-03-08 16:06:23,,-219,CO00000004,VIR
2021-03-08 16:06:23,,219,CC00000001,VIR
2020-12-03 16:54:23,,-599,LI00000002,DEP
2021-03-06 02:25:11,,-631,CO00000010,DEP
2021-11-22 10:29:15,,-671,CO00000012,RET
2022-03-24 02:57:13,,-818,CO00000005,DEP
2022-03-13 07:09:54,,-882,CO00000003,VIR
2022-03-13 07:09:54,,882,LI00000002,VIR
2022-11-23 19:03:45,,-983,LI00000001,DEP
2022-09-11 23:21:47,,-654,CO00000009,RET
2021-11-18 21:55:20,,-850,CO00000006,VIR
2021-11-18 21:55:20,,850,CO00000009,VIR
2021-06-14 23:29:48,,-606,CC00000001,RET
2021-11-28 11:11:41,,-757,CO00000008,DEP
2020-09-30 22:23:20,,-870,CO00000002,RET
2022-03-22 14:57:47,,-104,CC00000001,RET
2022-10-12 13:13:47,,-911,CO00000008,VIR
2022-10-12 13:13:47,,911,CO00000006,VIR
2021-05-03 20:01:12,,-183,CC00000001,VIR
2021-05-03 20:01:12,,183,LI00000003,VIR
2020-05-10 10:24:04,,-127,CO00000006,VIR
2020-05-10 10:24:04,,127,LI00000005,VIR
2022-09-06 02:05:30,,-798,CO00000004,DEP
2020-07-09 03:01:00,,-698,CO00000002,RET
2020-02-02 01:41:30,,-472,CO00000010,DEP
2021-02-21 10:49:14,,-549,CO00000007,DEP
2021-05-22 13:00:59,,-377,CO00000010,DEP
2021-03-20 20:51:15,,-318,CO00000011,RET
2021-08-27 01:21:09,,-724,CO00000010,VIR
2021-08-27 01:21:09,,724,CO00000003,VIR
2021-10-08 06:31:48,,-839,CO00000004,DEP
2022-10-19 16:19:53,,-317,CO00000012,DEP
2022-09-04 02:16:25,,-686,CC00000002,VIR
2022-09-04 02:16:25,,686,CO00000004,VIR
2021-03-15 14:58:49,,-663,CO00000009,DEP
2022-02-03 09:36:45,,-781,CO00000012,DEP
2021-06-24 13:04:29,,-844,CC00000001,VIR
2021-06-24 13:04:29,,844,CO00000001,VIR
2021-08-09 11:22:03,,-430,CO00000011,VIR
2021-08-09 11:22:03,,430,LI00000001,VIR
2020-10-23 05:17:16,,-870,CO00000004,RET
2021-01-24 08:53:28,,-206,LI00000006,DEP
2020-10-25 00:32:20,,-952,CO00000005,VIR
2020-10-25 00:32:20,,952,CO00000003,VIR
2021-11-13 06:53:46,,-269,CO00000011,DEP
2020-02-24 08:37:47,,-662,CO00000010,VIR
2020-02-24 08:37:47,,662,CC00000001,VIR
2022-09-15 11:31:34,,-185,CO00000004,DEP
2021-05-02 17:13:14,,-320,LI00000005,VIR
2021-05-02 17:13:14,,320,CO00000001,VIR
2022-10-30 12:06:17,,-513,CO00000005,RET
2021-02-02 11:35:45,,-784,CO00000011,VIR
2021-02-02 11:35:45,,784,LI00000001,VIR
2022-07-22 02:10:32,,-701,CO00000004,DEP
2022-04-16 11:41:28,,-992,LI00000005,VIR
2022-04-16 11:41:28,,992,LI00000005,VIR
2022-10-06 06:08:26,,-868,CO00000001,RET
2021-03-05 04:19:32,,-136,CO00000009,DEP
2020-07-22 00:25:29,,-619,CO00000012,DEP
2021-08-31 12:36:00,,-549,CO00000008,RET
2020-09-26 03:46:34,,-626,CC00000002,RET
2020-10-07 22:45:46,,-179,LI00000001,RET
2020-07-10 23:00:07,,-164,LI00000005,DEP
2020-07-21 00:55:10,,-478,CC00000002,RET
2021-02-23 19:39:48,,-795,CO00000009,VIR
2021-02-23 19:39:48,,795,LI00000001,VIR
2022-03-01 00:16:17,,-703,LI00000003,DEP
2020-08-11 02:27:49,,-785,CO00000011,DEP
2021-10-31 09:23:48,,-413,CC00000002,DEP
2020-11-06 16:34:45,,-261,LI00000003,DEP
2020-10-26 11:12:26,,-221,LI00000003,VIR
2020-10-26 11:12:26,,221,LI00000003,VIR
2020-02-22 08:11:30,,-484,CO00000005,DEP
2021-01-12 09:12:54,,-669,CO00000004,RET
2022-05-02 04:06:53,,-248,LI00000003,DEP
2020-02-05 08:36:09,,-71,LI00000004,VIR
2020-02-05 08:36:09,,71,CO00000002,VIR
2022-01-04 02:45:23,,-68,CO00000006,DEP
2022-04-21 16:16:33,,-586,LI00000001,VIR
2022-04-21 16:16:33,,586,CO00000012,VIR
2021-01-27 20:49:35,,-527,CO00000003,RET
2022-11-26 03:25:28,,-664,CO00000006,VIR
2022-11-26 03:25:28,,664,LI00000001,VIR
2021-12-13 07:52:25,,-797,CO00000009,RET
2022-01-13 18:14:56,,-526,CO00000003,VIR
2022-01-13 18:14:56,,526,CO00000006,VIR
2022-09-09 19:36:39,,-747,LI00000003,VIR
2022-09-09 19:36:39,,747,CO00000011,VIR
2021-01-19 14:17:39,,-225,CO00000010,VIR
2021-01-19 14:17:39,,225,CO00000004,VIR
2021-01-13 06:03:06,,-656,CO00000011,RET
2021-02-12 11:17:37,,-838,LI00000004,VIR
2021-02-12 11:17:37,,838,CO00000008,VIR
2021-01-19 19:00:43,,-237,CO00000011,DEP
2020-05-21 14:12:27,,-961,LI00000004,DEP
2022-05-25 17:33:12,,-194,CO00000011,DEP
2021-11-22 10:48:09,,-185,CO00000008,VIR
2021-11-22 10:48:09,,185,CO00000006,VIR
2022-12-16 11:14:50,,-385,CO00000003,VIR
2022-12-16 11:14:50,,385,CO00000003,VIR
2021-09-08 19:32:05,,-503,LI00000004,DEP
2022-05-05 07:36:34,,-524,CO00000008,DEP
2021-01-14 19:14:09,,-107,CO00000003,DEP
2022-10-09 16:40:07,,-892,LI00000002,VIR
2022-10-09 16:40:07,,892,LI00000003,VIR
2020-11-01 14:57:48,,-138,LI00000003,VIR
2020-11-01 14:57:48,,138,CO00000007,VIR
2022-08-11 05:09:14,,-738,CC00000002,RET
2022-05-14 16:14:02,,-152,CO00000002,DEP
2020-05-06 06:21:40,,-899,LI00000002,RET
2020-12-31 01:28:58,,-768,CO00000007,RET
2021-05-15 14:35:01,,-476,CO00000001,VIR
2021-05-15 14:35:01,,476,CO00000005,VIR
2020-03-17 11:47:58,,-449,CO00000011,RET
2021-08-12 01:08:09,,-327,CO00000011,RET
2020-12-31 02:40:53,,-480,CC00000002,VIR
2020-12-31 02:40:53,,480,LI00000001,VIR
2021-05-20 02:14:10,,-694,CC00000002,VIR
2021-05-20 02:14:10,,694,CC00000002,VIR
2022-04-12 23:43:42,,-50,CO00000010,RET
2020-06-02 11:02:45,,-989,CO00000010,RET
2021-03-18 10:08:52,,-262,CO00000011,RET
2021-06-15 13:13:41,,-301,LI00000006,RET
2022-03-09 11:04:52,,-596,CO00000004,DEP
2022-03-29 18:54:48,,-621,CO00000011,DEP
2021-12-09 18:37:06,,-638,CO00000011,VIR
2021-12-09 18:37:06,,638,CO00000004,VIR
2020-11-12 16:06:29,,-300,LI00000006,RET
2020-10-10 00:45:17,,-205,CO00000005,DEP
2020-09-19 11:42:23,,-426,CO00000002,VIR
2020-09-19 11:42:23,,426,LI00000004,VIR
2020-09-01 00:05:50,,-333,CO00000005,DEP
2020-08-11 02:13:30,,-198,CC00000002,DEP
2020-09-04 06:50:46,,-837,LI00000003,RET
2022-06-28 06:33:23,,-698,LI00000001,VIR
2022-06-28 06:33:23,,698,LI00000006,VIR
2021-09-27 06:11:46,,-486,CO00000005,VIR
2021-09-27 06:11:46,,486,CO00000008,VIR
2021-06-25 18:42:02,,-184,CC00000002,RET
2020-08-27 17:36:01,,-104,CO00000002,DEP
2020-05-13 11:43:34,,-714,LI00000005,DEP
2020-02-15 22:30:22,,-625,CO00000005,RET
2020-12-15 20:24:56,,-593,CO00000003,VIR
2020-12-15 20:24:56,,593,CO00000003,VIR
2020-12-04 07:31:33,,-602,LI00000006,VIR
2020-12-04 07:31:33,,602,CO00000011,VIR
2022-04-27 05:55:54,,-797,CO00000003,DEP
2020-02-28 04:59:54,,-523,CC00000002,VIR
2020-02-28 04:59:54,,523,CO00000002,VIR
2021-06-23 15:36:44,,-509,LI00000005,RET
2022-12-05 03:35:00,,-927,CO00000003,DEP
2020-12-03 11:31:53,,-112,LI00000002,RET
2020-02-11 12:17:37,,-19,CO00000004,RET
2020-09-22 05:39:23,,-890,CO00000003,DEP
2021-12-28 01:47:26,,-402,LI00000002,VIR
2021-12-28 01:47:26,,402,CO00000009,VIR
2020-09-06 17:23:53,,-971,CO00000008,VIR
2020-09-06 17:23:53,,971,CO00000010,VIR
2022-04-10 16:32:09,,-376,CO00000008,RET
2020-07-26 14:45:53,,-691,CO00000005,RET
2020-12-02 19:53:34,,-645,CO00000006,DEP
2022-04-05 23:56:27,,-86,CO00000012,VIR
2022-04-05 23:56:27,,86,CO00000006,VIR
2020-09-14 02:46:43,,-352,CO00000008,DEP
2022-09-28 20:04:41,,-738,LI00000002,DEP
2022-03-31 08:17:46,,-25,CO00000009,DEP
2021-04-12 14:43:44,,-909,LI00000001,RET
2020-12-25 01:31:03,,-496,CC00000001,DEP
2022-09-07 01:00:49,,-395,CC00000001,DEP
2021-08-27 14:03:53,,-767,CO00000002,RET
2022-04-16 12:02:35,,-621,CO00000001,DEP
2020-11-15 20:15:28,,-636,CO00000012,VIR
2020-11-15 20:15:28,,636,LI00000001,VIR
2020-03-16 19:02:52,,-380,LI00000003,RET
2021-12-27 22:28:32,,-561,CO00000008,RET
2022-10-21 11:26:17,,-90,LI00000001,VIR
2022-10-21 11:26:17,,90,CO00000001,VIR
2020-10-19 06:11:07,,-84,CO00000009,RET
2020-04-20 18:16:11,,-446,CO00000003,RET
2021-09-20 15:29:51,,-138,CO00000005,VIR
2021-09-20 15:29:51,,138,CO00000005,VIR
2022-07-16 08:16:55,,-252,LI00000002,VIR
2022-07-16 08:16:55,,252,CO00000006,VIR
2022-12-15 23:30:53,,-716,CO00000010,DEP
2020-04-26 10:45:53,,-663,CO00000003,VIR
2020-04-26 10:45:53,,663,CO00000006,VIR
2020-02-22 17:08:56,,-788,CO00000005,DEP
2022-02-01 20:26:56,,-538,CC00000002,DEP
2022-10-03 08:06:57,,-450,LI00000005,DEP
2020-09-21 13:58:57,,-196,LI00000002,RET
2021-03-02 20:21:09,,-571,CC00000002,DEP
2022-02-19 14:40:29,,-425,LI00000004,RET
2022-11-02 14:59:03,,-488,LI00000004,DEP
2021-09-11 19:23:07,,-757,CO00000012,DEP
2020-04-01 02:10:22,,-217,LI00000002,VIR
2020-04-01 02:10:22,,217,CO00000011,VIR
2020-10-04 12:20:32,,-346,CO00000003,DEP
2020-03-08 11:21:36,,-166,CC00000002,RET
2021-08-03 09:39:42,,-806,CC00000001,DEP
2021-05-01 21:56:03,,-838,CO00000008,VIR
2021-05-01 21:56:03,,838,CO00000006,VIR
2022-07-21 06:42:12,,-489,CO00000003,RET
2020-10-11 23:18:33,,-782,CO00000002,DEP
2021-01-23 07:14:40,,-654,LI00000004,VIR
2021-01-23 07:14:40,,654,LI00000001,VIR
2021-07-13 04:15:00,,-353,LI00000006,VIR
2021-07-13 04:15:00,,353,LI00000005,VIR
2021-10-31 07:52:52,,-620,LI00000002,DEP
2022-01-28 13:47:44,,-175,CO00000009,VIR
2022-01-28 13:47:44,,175,CO00000007,VIR
2022-01-29 18:21:38,,-820,LI00000003,VIR
2022-01-29 18:21:38,,820,LI00000004,VIR
2020-10-29 10:31:24,,-175,CO00000004,RET
2021-05-03 19:18:54,,-595,LI00000005,DEP
2022-08-31 20:08:26,,-398,CO00000007,DEP
2022-10-12 14:20:45,,-890,CO00000012,RET
2020-11-19 00:10:56,,-404,CO00000001,VIR
2020-11-19 00:10:56,,404,CO00000001,VIR
2020-09-02 14:28:14,,-422,CO00000008,RET
2021-07-14 15:48:57,,-121,CO00000004,DEP
2022-10-20 03:05:28,,-942,CO00000002,DEP
2020-04-04 04:31:14,,-666,CO00000002,DEP
2020-02-12 06:38:48,,-755,LI00000004,RET
2021-07-18 19:55:49,,-59,CO00000010,DEP
2021-01-18 16:02:01,,-905,LI00000005,DEP
2021-12-21 04:59:26,,-252,LI00000005,RET
2022-02-21 09:15:49,,-573,CO00000008,DEP
2022-04-02 05:30:51,,-268,LI00000001,RET
2022-05-07 02:43:35,,-943,CO00000010,DEP
2022-12-16 12:07:06,,-640,CO00000001,VIR
2022-12-16 12:07:06,,640,CO00000012,VIR
2020-07-12 08:10:46,,-10,CO00000006,VIR
2020-07-12 08:10:46,,10,LI00000001,VIR
2020-12-26 07:44:15,,-751,CO00000001,VIR
2020-12-26 07:44:15,,751,LI00000005,VIR
2020-12-20 16:31:57,,-222,CO00000012,RET
2020-10-15 19:10:11,,-183,CO00000001,DEP
2022-09-12 11:32:47,,-102,CC00000002,RET
2021-12-30 08:27:47,,-80,LI00000003,RET
2020-02-24 01:50:39,,-746,CO00000002,VIR
2020-02-24 01:50:39,,746,LI00000006,VIR
2021-12-31 13:54:37,,-150,CC00000002,DEP
2023-01-04 06:55:15,,-751,CO00000005,RET
2020-02-23 07:19:21,,-540,CO00000012,RET
2020-12-17 23:47:32,,-148,CO00000011,RET
2020-04-24 21:49:09,,-524,CC00000002,VIR
2020-04-24 21:49:09,,524,LI00000002,VIR
2020-05-28 05:08:31,,-349,CO00000006,RET
2021-07-21 20:34:15,,-799,CO00000001,DEP
2020-08-05 18:13:12,,-338,CO00000003,RET
2021-06-21 16:01:17,,-119,CO00000006,VIR
2021-06-21 16:01:17,,119,CO00000007,VIR
2022-03-16 03:33:24,,-419,CC00000002,VIR
2022-03-16 03:33:24,,419,CO00000011,VIR
2020-12-02 10:57:57,,-134,LI00000005,RET
2021-06-22 08:02:50,,-555,CO00000003,DEP
2020-06-17 13:40:58,,-800,CO00000012,DEP
2022-08-22 04:56:02,,-644,CO00000009,DEP
2023-01-06 22:50:54,,-621,CO00000008,RET
2022-06-14 22:34:56,,-829,CO00000003,VIR
2022-06-14 22:34:56,,829,CO00000009,VIR
2020-09-24 03:15:48,,-254,LI00000004,DEP
2020-02-10 04:37:00,,-71,LI00000001,RET
2021-03-13 19:39:03,,-789,CO00000012,RET
2020-04-14 11:52:36,,-85,LI00000001,RET
2020-05-25 23:28:18,,-12,CO00000012,RET
2021-03-04 14:42:21,,-977,CO00000011,DEP
2021-03-13 08:28:36,,-184,LI00000003,DEP
2020-12-31 15:12:48,,-686,LI00000005,DEP
2022-09-16 03:13:06,,-566,CO00000002,DEP
2021-06-30 00:20:17,,-328,LI00000006,DEP
2021-08-16 15:39:08,,-512,CC00000001,VIR
2021-08-16 15:39:08,,512,CO00000006,VIR
2022-02-14 18:28:55,,-507,CO00000012,RET
2021-06-18 16:51:47,,-96,LI00000003,DEP
2022-08-13 12:04:52,,-311,LI00000001,VIR
2022-08-13 12:04:52,,311,LI00000006,VIR
2021-04-26 22:51:26,,-600,CO00000004,DEP
2022-12-13 00:34:56,,-551,CO00000012,DEP
2020-04-04 10:57:52,,-23,CO00000008,DEP
2022-08-23 12:59:31,,-110,CO00000008,VIR
2022-08-23 12:59:31,,110,CO00000009,VIR
2021-11-22 09:17:09,,-233,CO00000006,DEP
2022-11-20 17:55:11,,-274,LI00000001,VIR
2022-11-20 17:55:11,,274,CO00000001,VIR
2021-11-01 04:25:48,,-836,CC00000002,RET
2020-03-31 11:59:19,,-33,CO00000007,DEP
2021-06-25 18:50:02,,-499,CO00000002,DEP
2022-07-23 10:19:02,,-887,CO00000009,RET
2022-01-21 02:27:00,,-877,CO00000010,VIR
2022-01-21 02:27:00,,877,LI00000005,VIR
2021-03-03 05:42:09,,-441,LI00000004,DEP
2022-04-09 05:12:28,,-458,CO00000008,RET
2021-03-11 04:12:38,,-121,CO00000002,VIR
2021-03-11 04:12:38,,121,CO00000006,VIR
2021-10-02 23:40:40,,-775,CO00000002,VIR
2021-10-02 23:40:40,,775,LI00000002,VIR
2020-07-02 23:31:52,,-791,LI00000002,DEP
2020-11-08 06:31:05,,-702,CO00000007,DEP
2022-04-21 06:29:14,,-1,CO00000010,RET
2021-06-10 17:27:31,,-349,LI00000006,VIR
2021-06-10 17:27:31,,349,LI00000001,VIR
2020-05-04 15:18:15,,-748,CC00000002,VIR
2020-05-04 15:18:15,,748,LI00000001,VIR
2021-05-23 18:36:27,,-766,CO00000012,DEP
2021-12-23 09:41:28,,-38,CC00000001,VIR
2021-12-23 09:41:28,,38,LI00000003,VIR
2020-07-14 03:38:34,,-614,CO00000011,RET
2020-12-29 06:21:46,,-310,CO00000003,DEP
2021-08-11 18:29:24,,-489,LI00000004,RET
2021-08-21 16:46:19,,-408,LI00000004,DEP
2020-02-14 05:08:14,,-13,CO00000012,DEP
2023-01-12 04:30:55,,-199,CO00000009,DEP
2021-11-17 15:17:08,,-817,LI00000004,VIR
2021-11-17 15:17:08,,817,CO00000009,VIR
2020-05-24 08:02:49,,-127,CO00000008,RET
2020-11-03 02:03:05,,-866,CO00000010,VIR
2020-11-03 02:03:05,,866,LI00000003,VIR
2020-09-17 19:30:00,,-740,CO00000007,DEP
2022-08-20 15:28:38,,-683,LI00000006,VIR
2022-08-20 15:28:38,,683,CO00000006,VIR
2021-05-06 14:19:26,,-281,CO00000007,DEP
2022-05-16 14:43:02,,-514,CO00000006,DEP
2022-01-31 04:49:08,,-988,CO00000011,DEP
2022-08-06 05:25:22,,-444,CO00000005,DEP
2021-07-12 02:57:30,,-489,CO00000002,VIR
2021-07-12 02:57:30,,489,LI00000002,VIR
2021-03-20 03:50:42,,-134,CC00000002,RET
2020-10-04 01:39:05,,-221,CO00000012,VIR
2020-10-04 01:39:05,,221,CO00000002,VIR
2021-12-01 12:18:14,,-671,CC00000001,DEP
2021-02-07 21:15:03,,-172,LI00000006,DEP
2021-12-21 17:14:28,,-416,CO00000006,RET
2020-04-25 07:17:34,,-735,CO00000012,RET
2021-09-15 21:37:59,,-933,LI00000005,RET
2021-09-14 02:09:25,,-133,CO00000002,VIR
2021-09-14 02:09:25,,133,LI00000003,VIR
2020-03-06 04:32:27,,-665,CO00000006,DEP
2022-06-04 07:03:18,,-410,CO00000001,VIR
2022-06-04 07:03:18,,410,CO00000003,VIR
2021-06-27 03:25:09,,-249,CO00000003,RET
2022-07-09 00:43:21,,-36,CO00000006,VIR
2022-07-09 00:43:21,,36,LI00000006,VIR
2020-10-16 17:28:32,,-743,CO00000009,VIR
2020-10-16 17:28:32,,743,CO00000007,VIR
2020-05-26 16:00:13,,-743,CC00000002,DEP
2020-04-07 09:04:18,,-576,CO00000006,VIR
2020-04-07 09:04:18,,576,CO00000009,VIR
2022-09-01 22:12:09,,-520,CO00000011,RET
2021-07-23 07:40:16,,-892,LI00000005,VIR
2021-07-23 07:40:16,,892,CC00000001,VIR
2020-02-05 01:13:18,,-114,LI00000003,RET
2020-05-13 20:00:31,,-769,CO00000011,VIR
2020-05-13 20:00:31,,769,CO00000009,VIR
2021-07-06 05:09:23,,-593,LI00000005,DEP
2022-02-14 22:08:05,,-505,CO00000010,VIR
2022-02-14 22:08:05,,505,CO00000010,VIR
2022-01-31 02:21:54,,-938,LI00000001,DEP
2021-03-08 08:43:30,,-522,LI00000006,VIR
2021-03-08 08:43:30,,522,CO00000005,VIR
2021-03-31 05:05:09,,-542,LI00000002,VIR
2021-03-31 05:05:09,,542,CO00000011,VIR
2022-09-27 13:03:22,,-862,CO00000008,VIR
2022-09-27 13:03:22,,862,LI00000004,VIR
2020-12-02 05:52:22,,-929,LI00000006,VIR
2020-12-02 05:52:22,,929,LI00000003,VIR
2022-11-21 11:43:55,,-699,CO00000004,DEP
2020-12-26 18:56:43,,-222,CO00000006,VIR
2020-12-26 18:56:43,,222,CO00000010,VIR
2022-05-14 22:17:14,,-710,LI00000006,DEP
2022-08-13 17:16:40,,-460,CO00000012,DEP
2020-09-02 18:29:17,,-86,CO00000011,RET
2020-02-05 00:59:41,,-852,CO00000004,DEP
2022-01-04 10:04:11,,-891,CO00000009,RET
2022-10-18 01:44:42,,-672,LI00000003,VIR
2022-10-18 01:44:42,,672,CO00000011,VIR
2021-08-22 01:47:54,,-494,CO00000005,RET
2020-08-13 16:27:45,,-316,CO00000007,VIR
2020-08-13 16:27:45,,316,LI00000002,VIR
2022-08-11 02:37:35,,-735,CO00000001,RET
2021-12-03 09:55:35,,-871,CC00000001,RET
2020-03-02 12:49:28,,-795,CC00000001,VIR
2020-03-02 12:49:28,,795,LI00000003,VIR
2022-01-13 21:28:49,,-373,CO00000011,RET
2021-09-12 03:29:47,,-735,CO00000004,RET
2021-04-28 00:03:08,,-22,CO00000002,VIR
2021-04-28 00:03:08,,22,CO00000004,VIR
2023-01-02 00:23:51,,-584,CO00000006,RET
2022-09-12 10:12:02,,-961,CO00000008,VIR
2022-09-12 10:12:02,,961,CO00000010,VIR
2022-09-10 04:37:26,,-636,CO00000012,VIR
2022-09-10 04:37:26,,636,CC00000001,VIR
2020-08-01 05:16:22,,-973,CO00000001,RET
2021-12-10 12:27:04,,-243,LI00000004,VIR
2021-12-10 12:27:04,,243,LI00000002,VIR
2020-12-13 05:48:13,,-187,CO00000010,VIR
2020-12-13 05:48:13,,187,CO00000010,VIR
2022-09-13 04:51:16,,-164,CO00000012,DEP
2020-10-13 05:37:47,,-688,CO00000012,DEP
2020-11-09 18:42:54,,-721,LI00000004,RET
2022-05-02 17:21:59,,-531,CO00000007,DEP
2022-03-07 17:05:08,,-533,LI00000004,DEP
2022-01-16 02:11:35,,-233,CO00000009,RET
2021-09-17 02:12:21,,-615,LI00000001,DEP
2020-11-30 17:49:58,,-462,LI00000001,VIR
2020-11-30 17:49:58,,462,LI00000003,VIR
2020-04-12 06:50:21,,-830,LI00000004,DEP
2020-03-15 10:34:27,,-855,CC00000002,RET
2021-08-28 08:51:42,,-398,CO00000007,DEP
2022-10-16 17:23:23,,-954,LI00000002,VIR
2022-10-16 17:23:23,,954,LI00000004,VIR
2020-07-21 21:57:14,,-457,CO00000003,RET
2021-08-09 20:51:55,,-712,LI00000003,VIR
2021-08-09 20:51:55,,712,CO00000004,VIR
2021-04-18 04:02:30,,-146,LI00000004,RET
2021-03-14 11:59:24,,-585,CO00000010,DEP
2021-09-13 18:39:18,,-889,CC00000001,DEP
2021-04-16 05:01:16,,-776,LI00000001,RET
2022-11-14 03:25:51,,-612,CO00000006,RET
2022-12-30 18:33:13,,-897,LI00000003,VIR
2022-12-30 18:33:13,,897,LI00000005,VIR
2020-07-30 04:59:08,,-902,CO00000012,VIR
2020-07-30 04:59:08,,902,CO00000005,VIR
2021-11-03 05:04:56,,-265,CC00000001,RET
2021-08-08 04:06:14,,-466,LI00000005,VIR
2021-08-08 04:06:14,,466,CO00000002,VIR
2021-01-28 03:04:58,,-844,CO00000010,RET
2022-11-16 03:58:03,,-684,CO00000002,VIR
2022-11-16 03:58:03,,684,LI00000006,VIR
2023-01-12 11:27:32,,-822,CO00000002,VIR
2023-01-12 11:27:32,,822,CO00000003,VIR
2020-10-15 05:13:24,,-137,CO00000012,RET
2020-03-29 23:02:56,,-684,LI00000004,RET
2022-03-10 00:23:23,,-823,CO00000004,DEP
2021-03-01 23:19:42,,-593,CO00000009,DEP
2021-02-16 10:34:14,,-17,CC00000001,DEP
2022-07-14 17:55:35,,-634,CO00000007,VIR
2022-07-14 17:55:35,,634,CO00000003,VIR
2021-12-02 06:31:08,,-327,CO00000010,VIR
2021-12-02 06:31:08,,327,CO00000003,VIR
2022-12-07 17:44:54,,-946,CO00000010,VIR
2022-12-07 17:44:54,,946,LI00000003,VIR
2022-03-22 23:11:27,,-627,LI00000001,DEP
2022-02-12 18:08:16,,-873,LI00000002,DEP
2022-08-19 14:20:10,,-25,CO00000011,VIR
2022-08-19 14:20:10,,25,CO00000012,VIR
2020-11-20 18:22:20,,-180,LI00000005,DEP
2021-10-26 07:55:48,,-92,CO00000008,VIR
2021-10-26 07:55:48,,92,CO00000004,VIR
2021-04-18 01:37:25,,-157,CO00000003,DEP
2021-06-11 12:51:17,,-343,LI00000001,DEP
2021-03-19 13:49:21,,-558,CO00000002,RET
2022-10-08 04:54:47,,-798,CO00000001,VIR
2022-10-08 04:54:47,,798,CO00000012,VIR
2021-10-27 05:38:53,,-513,CC00000001,VIR
2021-10-27 05:38:53,,513,CO00000012,VIR
2020-09-18 11:35:34,,-943,LI00000004,VIR
2020-09-18 11:35:34,,943,CC00000002,VIR
2020-12-27 01:03:22,,-343,CO00000007,VIR
2020-12-27 01:03:22,,343,LI00000005,VIR
2021-02-08 08:38:17,,-831,CO00000008,DEP
2021-08-26 21:52:41,,-450,CO00000008,RET
2021-03-22 14:02:02,,-620,CO00000005,DEP
2021-10-03 22:25:23,,-235,CO00000006,VIR
2021-10-03 22:25:23,,235,LI00000005,VIR
2022-01-16 09:09:43,,-37,CO00000009,RET
2021-08-24 12:50:58,,-556,CO00000003,RET
2022-02-26 13:01:12,,-967,LI00000006,DEP
2021-11-17 11:46:37,,-978,CO00000010,DEP
2021-09-24 19:01:13,,-200,LI00000002,DEP
2022-06-02 15:35:18,,-762,CO00000002,VIR
2022-06-02 15:35:18,,762,CO00000008,VIR
